Unnamed: 0,id,headline,summary,category,suggestions,img,Category
0,0,Twitch called out for allowing users to create charity campaigns for nonprofits that some consider controversial,"Twitch said its ""goal is to provide streamers with a wide variety of charitable organizations and enable them to decide who to support,"" adding, ""The scale of this program may mean that people within our community may not agree with or support all of the included organizations, even if they are currently compliant with our policies."" Unlike with its maligned revenue sharing policy, which determines how streamers and Twitch divide the revenue from paid subscriptions, Twitch does not take a cut of the money raised from charity streams. The scale of this program may mean that people within our community may not agree with or support all of the included organizations, even if they are currently compliant with our policies.",business,"[1, 2, 3]","https://media-cldnry.s-nbcnews.com/image/upload/t_fit-760w,f_auto,q_auto:best/rockcms/2022-12/221213-twitch-logo-ew-356p-e66294.jpg",business
1,1,Black women played a critical role in helping to free Brittney Griner,"The Win With Black Women collective received 1,200 signatures of women in a letter of support for Griner that they sent to the Biden administration in July. Brown connected with other advocates and groups to take action that would last long after Griners news left the headlines. I was moved to tears, LaTosha Brown, of the Southern Black Girls and Womens Consortium, said of the moment she learned of Griners release.",sport,"[1, 2, 3]","https://media-cldnry.s-nbcnews.com/image/upload/t_fit-760w,f_auto,q_auto:best/rockcms/2022-12/221213-warebg-brittney-griner-2x1-mn-1140-87f039.jpg",sport
2,2,Congressional negotiators reach bipartisan agreement on framework for funding deal,"
Congressional leaders reached a bipartisan deal Tuesday on the framework for a massive government funding package they hope to pass before the holidays. Senate Majority Leader Chuck Schumer, DN.Y., put members on notice to expect a continuing resolution this week to avert a government shutdown that neither side wants as Congress closed in on the larger spending package. ""Today, Vice Chairman Shelby, Chair DeLauro, and I reached a bipartisan, bicameral framework that should allow us to finish an omnibus appropriations bill that can pass the House and Senate and be signed into law by the President,"" Senate Appropriations Committee Chair Patrick Leahy, DVt., said in a statement.",business,"[1, 2, 3]",https://static.adsafeprotected.com/skeleton.gif,business
3,3,Ron DeSantis outflanks Trump on the right with his call for Covid vaccine probe,"DeSantis was also an early public critic of Dr. Anthony Fauci, the nations top infectious disease specialist, during the pandemic who became anathema to conservatives in 2020, even as Trump resisted pressure to oust him while still often criticizing him. DeSantis was a major booster of the vaccines last year and once called them lifesaving, but he later turned against them, mirroring a shift in conservative Republican opinion. By that point, the former president was already annoyed with DeSantis, who won his 2018 primary for governor on the strength of Trumps endorsement but then refused to pledge to not run against Trump in 2024, according to those who have spoken to Trump.",business,"[1, 2, 3]","https://media-cldnry.s-nbcnews.com/image/upload/t_fit-760w,f_auto,q_auto:best/rockcms/2022-12/221213-donald-trump-ron-desantis-se-159p-b3ad39.jpg",business
4,4,U.S. Postal Service announces stamp honoring late Rep. John Lewis,"""Devoted to equality and justice for all Americans, Lewis spent more than 30 years in Congress steadfastly defending and building on key civil rights gains that he had helped achieve in the 1960s. The action of Rosa Parks and the leadership of Martin Luther King Jr. inspired me to find a way to get in the way, to get in trouble  good trouble, necessary trouble. He also helped organize sitins at segregated lunch counters, and he was one of the original Freedom Riders, taking buses from the North to the Deep South to protest segregation at interstate bus terminals.",business,"[1, 2, 3]",https://static.adsafeprotected.com/skeleton.gif,business
5,5,Here's when Social Security checks featuring the massive 2023 COLA increase will start arriving,"Recipients will also benefit from a 3 decrease in how much they'll owe each month on standard Medicare Part B premiums. The remaining group will get the payment the fourth Wednesday of the month, meaning the first 2023 payment will come Jan. 25. The 8.7 COLA increase is in response to the decadeshigh inflation that began to plague the U.S. economy this year.",business,"[1, 2, 3]",https://static.adsafeprotected.com/skeleton.gif,business
6,6,"Research finds more negative effects of screen time on kids, including higher risk of OCD","According to the International OCD Foundation, about half a million kids and teenagers in the United States have OCD, a disorder in which intrusive thoughts repeatedly enter peoples minds, leading them to behaviors they feel the need to do repeatedly. What people need to remember is the more time that kids are on screen, that means theres less time that theyre getting a lot of things that we know are incredibly important for child development, including interaction with adults, sleep, opportunities to read and conversations that are more interactive with nonverbal cues, he said. 
Two new studies show associations between screen time and behavioral and psychological risks for children, adding to a growing body of evidence that excessive use of smartphones and other devices can be deleterious to their health.",tech,"[1, 2, 3]",https://static.adsafeprotected.com/skeleton.gif,tech
7,7,Oregon Gov. Kate Brown commutes sentences of 17 people on death row,"Kate Brown announced plans Tuesday to commute the sentences of the 17 people on death row to life in prison without the possibility of parole, most likely using her executive clemency powers for the last time as governor. Brown said the commutations were consistent with a moratorium on the death penalty Gov. I also recognize the pain and uncertainty victims experience as they wait for decades while individuals sit on death row  especially in states with moratoriums on executions  without resolution.",business,"[1, 2, 3]",https://static.adsafeprotected.com/skeleton.gif,business
8,8,Traveling coast to coast as a same-sex couple is a balancing act,"Perhaps we all need to get out of our silos to remember that hate can be found anywhere  and so can respect and love. While there are many benefits to living like nomads and traveling back and forth across the U.S., we were leery when we began our first crosscountry trip. Despite the precautions my wife and I take in public, I remain hopeful that one day everyone in my community, especially future generations, will feel like they can kiss unreservedly on sundrenched docks without fear of retaliation.",sport,"[1, 2, 3]",https://static.adsafeprotected.com/skeleton.gif,sport
9,9,"Elon Musk says he can stop child exploitation on Twitter. So far, he’s axed jobs and pushed out watchdogs.","According to people familiar with the situation and the internal records, the layoffs, firings and resignations have cut the number of engineers at Twitter by more than half, including myriad employees and leaders in the company who worked on trust and safety features and improvements to the existing platform. The National Center for Missing  Exploited Children NCMEC, the organization tasked by the U.S. government with tracking reports of child sexual abuse material online, said little has changed under Musks leadership in terms of Twitters reporting practices so far. Stroppa, who remains an independent researcher, said he felt Twitters previous efforts were lacking and that it now moves quickly to find and suspend accounts that post child sexual exploitation content.",business,"[1, 2, 3]",https://static.adsafeprotected.com/skeleton.gif,business
